stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,4.09,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,34.23,4.28,0,134.79,3.21,42.79,0,1.07,0,0,0,0,0,2.14,0,12.84,8204.23,3.21,47.07,2.14,1.07,299.54,131.58,1.07,55.63,1.07,0,17.12,0,1.07,3.21,0,0
21Day,1.34,0,0,56.22,0,1.34,0,0,0,0,0,0,0,0,0,1.34,113.78,0,2.68,0,0,2.68,4.02,0,1.34,0,0,0,0,1.34,0,0,0
3Month,0,0,0,1.92,0,0,0,0,0.32,0.96,0,0.64,0,0,0.32,0,0.32,0.64,0.32,0,11.2,0,0,0,0,0,3.2,0,0,0,0,0,2.88
22Month,0,0,56.85,2.73,0,0,2.73,0.55,13.12,8.2,2.19,75.44,2.73,0.55,132.84,0.55,1.09,4.92,5.47,2.73,1.64,0,0,0,0,0,3.28,0,0.55,0,0,0.55,0
