stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia
72hpf,1.07,1.07,0,0,0,0,0,0,0,0,1.07,28.88,1.07,1.07,0,0,0
21Day,0,4.02,0,0,0,0,0,1.34,2.68,0,0,10.71,0,0,0,0,1.34
3Month,0,0.64,0,0.32,0.96,0,0.32,0,0.32,0,0,0,0,0,0.32,0.96,0
22Month,0,0.55,1.09,1.09,13.12,0.55,0.55,0,0,1.09,0,0.55,0,0.55,0,2.73,0.55
