stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,4.09,0,0,4.09,0,0,0,0
72hpf,1.07,0,1.07,0,0,0,0,0,0,3.21,0,1.07,0,1.07,6.42,1.07,0,0,0
21Day,1.34,1.34,4.02,0,0,0,0,0,0,1.34,0,1.34,0,0,0,2.68,0,0,0
3Month,0,0,1.28,0.32,0.32,0.32,8.32,1.92,0.32,3.2,0.32,2.24,0.32,0,0,0,0.96,8.32,1.92
22Month,0,0,0,0,0,0,3.83,1.64,0,0,0,0,0,0,0,0,0,0,0
