stage,Epithelial_cell,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast
72hpf,0,1.07,0,0,2.14,0,0,0,1.07,1.07,0,1.07
21Day,0,1.34,0,0,1.34,1.34,1.34,0,0,2.68,1.34,2.68
3Month,0.96,0,0.64,0.32,0.32,0.32,0,0.32,0,0,0,0
22Month,0.55,0,1.09,0,0,0,0,0,0,0,0,0
