stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,20.43,143.02,0,0,0,0,0,0,0,0,0
72hpf,9.63,1.07,3.21,1.07,0,0,0,0,0,0,0,2.14,1.07,12.84,0,0,301.68,80.23,1.07,1.07,17.12,0,0,9.63,3.21,1.07,0
21Day,9.37,0,4.02,1.34,1.34,0,0,0,0,0,1.34,1.34,0,22.76,0,4.02,148.58,38.82,1.34,1.34,5.35,5.35,1.34,1.34,0,4.02,2.68
22Month,0,2.19,5.47,0,0,0.55,0.55,0.55,0.55,8.2,0.55,1.09,0,4.92,1.09,0,0,0,1.09,0,0.55,0,0,0.55,0,0,0
