stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,0,6.42,1.07,1.07,0,0,0
21Day,1.34,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0
3Month,0,2.24,0.32,0.64,0.64,8,1.92,0.32,0.64,0.96,0,1.28,0,0,0,2.88,0.64,0.96
22Month,0,0.55,0,0,0.55,14.21,0.55,0,0.55,1.09,0,0,0,0,0,1.09,0,0.55
