stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,20.43,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,1.07,0,0,20.33,0,0,11.77,7.49,0,1.07,0,0,4.28,5.35,2.14,1.07,0
21Day,0,0,0,1.34,0,0,0,0,0,0,0,0,0,6.69,0,2.68,4.02,14.72,2.68,0,1.34,0,1.34,1.34,5.35,0,0
3Month,0,0,0.96,0,0.32,0,1.92,0.32,0,0.96,0,0.32,0,0,0,0,0,0,0,0,0.32,0.64,0,0,0,0,0
22Month,0.55,1.09,4.37,0,4.37,1.09,22.96,0,0.55,2.73,0,0,1.64,0.55,0.55,0,0,0,0,0,0.55,0.55,0,0.55,0,0,0.55
