stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,53.12,20.43,20.43,0,0,0,0,0,0,0,0,0,0,8.17,4.09,4.09,98.07,0,0,0,8.17,2088.15,0,0,24.52,0,0,0,0,0,0
72hpf,5.35,0,1.07,1.07,0,1.07,0,0,0,0,0,0,0,0,1.07,1.07,5.35,0,0,2.14,14.98,10.7,0,0,601.22,0,0,0,0,1.07,0
21Day,1.34,0,2.68,1.34,1.34,1.34,0,0,0,2.68,0,1.34,1.34,0,0,2.68,13.39,0,0,0,1.34,4.02,0,1.34,374.79,1.34,0,0,1.34,0,0
3Month,0,0,5.12,0,0,0,0.64,0.32,21.12,2.24,0.64,0,2.88,0.32,0,1.28,1.6,0.32,0,0.32,0,0.32,0.32,0,40.95,0,3.2,0,0,0.32,0
22Month,0,0,0,0,0,0,0.55,1.64,8.75,4.92,0,0,1.09,0,0,0,0.55,0,0.55,0,0,0,0,0,9.84,0,8.2,0.55,0,0,0.55
