stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,16.35,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,1.07,1.07,1.07,0,0,0,0,0,0,0,0,0,1.07,0,14.98,0,0,1.07,0,13.91,3.21,0,0,0,6.42,0,0,2.14,0,1.07,0,0
21Day,4.02,0,2.68,1.34,0,0,0,0,1.34,0,1.34,0,0,0,0,4.02,0,0,1.34,0,14.72,1.34,0,0,0,1.34,2.68,0,0,0,0,0,2.68
3Month,0,0.32,1.6,0,0.32,0.64,1.28,0,17.6,0.64,0,0.96,0,1.28,0,0.96,0.32,0,0.64,0.32,0,0,0,0,0,0,0.32,0.32,0,0,0,0.32,0
22Month,0.55,4.37,7.65,0,0.55,1.09,5.47,1.64,155.25,4.37,1.64,12.57,0.55,1.09,6.56,6.56,1.09,6.56,0.55,0,0.55,0,0.55,0.55,1.64,0,0,0,2.73,1.09,0,1.09,2.73
