stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,4.09,0,8.17,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0
21Day,1.34,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0
3Month,0,1.28,0.32,9.92,0.64,5.44,0.32,0,0,0,0.32,5.44,0.32,2.88,0.32
22Month,0,0,0.55,0.55,0,1.09,0,0,0,0,0,0.55,0,0.55,0
