stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,69.47,0,0,0,0,0,0,0,0,0,4.09,12.26,8.17,8.17,0,0,0,4.09,0,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,56.7,0,0,0,0,0,0,0,0,0,0,80.23,0,1.07,0,0,0,0,3.21,8.56,0,0,2.14,0,0,0,0,0,0,0
21Day,0,0,0,99.05,4.02,0,0,0,0,0,0,0,0,0,36.14,0,2.68,0,0,0,0,4.02,1.34,0,0,0,2.68,0,0,0,0,0,1.34
3Month,0.32,0.64,0.64,452.41,0,2.24,0,1.92,7.68,20.16,10.56,0.96,10.24,7.04,330.51,10.24,9.6,1.28,0,2.56,1.92,0.96,0,0.96,0.96,0.32,5.12,7.68,0,0,13.44,4.48,7.36
22Month,0,3.83,1.09,98.4,0,0,0.55,0,8.2,28.43,3.83,0,6.01,1.64,51.93,2.73,4.37,0,0.55,0,0.55,0.55,0,0.55,0,0,0,3.28,0.55,0.55,0.55,0,0.55
