stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.86,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,0,0,4.28,1.07,0,0,0,0,0,0,0,5.35,0,2.14,0,2.14,0,226.8,22.47,1.07,0,0,4.28,0,0,1.07,0,0,0,0,0
21Day,12.05,1.34,5.35,12.05,2.68,6.69,0,0,0,1.34,0,0,1.34,1.34,5.35,2.68,6.69,0,1.34,0,373.45,9.37,1.34,4.02,0,4.02,8.03,0,2.68,38.82,44.17,4.02,1.34,5.35
3Month,0,0,0,1.92,0,0,0,0.64,0,1.92,0.32,0.32,1.92,0.32,0.64,0.32,0.96,0,0.32,0.32,5.44,0,1.92,0,0,0,0,1.92,0,0,0,0,0,0.96
22Month,0,0.55,0,3.28,0,0,0,1.64,1.09,20.77,1.09,0,1.09,0,1.09,0.55,2.19,0.55,1.09,0,20.77,0,0,0,0.55,0,0,1.09,0,0,0,0,0,0.55
