stage,Epithelial_cell,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Mt_rich_cell,Neural_cell
24hpf,4.09,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,21.4
21Day,0,0,0,0,0,0,5.35
3Month,0,0,0.32,0.32,0,0,0
22Month,0.55,3.83,6.01,0,1.09,0.55,0
