stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,1.07,0,0,0,0,0,0,3.21,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,2.68,0,0,2.68,1.34,0,0,0,0
3Month,0.32,0,0,0.32,0,1.6,0,0,0,0,0.32,0,0,0,0.96,0.64,0.32,0.32
22Month,0,0,0,1.09,0.55,7.11,0.55,0.55,0,0,0,14.21,0,0,1.09,0,0,0
