stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,4.09,4.09,8.17,4.09,40.86,0,0,0,0
72hpf,1.07,1.07,0,0,0,0,2.14,0,0,25.67,27.81,3.21,0,1.07,0
21Day,0,6.69,1.34,4.02,1.34,5.35,2.68,0,4.02,20.08,8.03,2.68,1.34,1.34,1.34
