stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Retinal_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0
72hpf,0,0,0,3.21,0,0,0,0,1.07,0,0,3.21,2.14,0,1.07
21Day,0,0,0,2.68,0,0,0,0,0,1.34,0,0,1.34,1.34,2.68
3Month,0,0.32,0.64,0,0,0,0.96,0.32,0,0.32,0,0,0,0.96,0.32
22Month,0.55,0,0,0,0.55,0.55,2.73,0.55,0,0,0.55,0.55,0,1.09,6.56
