stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,4.09,4.09,0,0,0,0,4.09,0,0,36.78,0,0,4.09,0
72hpf,0,0,0,0,0,0,0,0,2.14,1.07,0,1.07,0,0
21Day,0,0,0,0,0,0,0,1.34,1.34,0,0,0,0,0
3Month,0,0.96,0,0.96,0,0.32,0.32,0,0,0,0.32,0,0,0.32
22Month,0,0.55,1.09,8.2,0.55,0.55,0.55,0.55,0,0,1.09,0,0,0
