stage,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia
24hpf,0,20.43,0,0,8.17,277.88,0,0,0,28.6,0,0,0
72hpf,0,2.14,0,0,1.07,83.44,0,0,3.21,0,1.07,0,1.07
21Day,0,49.53,1.34,1.34,0,28.11,0,1.34,4.02,1.34,1.34,1.34,0
3Month,0,7.04,0,0.64,0,0.64,0.32,0,0,0,0,0,0
22Month,1.09,1.09,0,0,0,0,0,0,0,0,0,0,0
