stage,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,1.07,0,19.26,1.07,0,0,0,0,0,0,0
21Day,0,1.34,0,0,1.34,0,17.4,0,0,1.34,0,0,1.34,0,0
3Month,1.28,0,0,0.96,0,0,0,0,0.32,0.32,0.32,0.32,0,0.32,0
22Month,1.09,0,1.09,7.11,0,1.09,0.55,0,0,0,0,0.55,0,0,0.55
