stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,16.35,20.43,44.95,0,0,8.17,0,0,0,0,4.09,36.78,32.69,110.33,16.35,939.87,0,0,8.17,0,0,0,0,0,0
72hpf,2.14,3.21,8.56,1.07,0,0,0,0,0,0,7.49,7.49,1.07,1.07,18.19,21.4,0,1.07,5.35,1.07,0,4.28,1.07,0,0
21Day,2.68,1.34,6.69,0,2.68,0,1.34,0,1.34,0,0,0,2.68,5.35,5.35,5.35,0,2.68,1.34,2.68,1.34,0,0,0,2.68
3Month,0,0,1.28,0,0,0,0,0.32,0,0.32,0,0,0,0,0,0,0.32,0,0,0,7.04,0,0,0.64,0
