stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,1.07,0,1.07,0,25.67,1.07,0,1.07,0,0,0,1.07,0,0
21Day,0,2.68,1.34,0,0,0,0,0,5.35,0,4.02,0,4.02,2.68,0,0,1.34,0,0,0,0,0
3Month,0,7.36,6.72,0.64,3.84,0.64,0.96,2.88,1.28,0.64,1.28,0.64,0,0.32,0.64,0,0,2.24,0,0.32,0.32,0.64
22Month,0.55,1.64,3.28,0,8.75,0,0,0,0.55,0,0,0,0,0,0,0,0,2.73,0.55,0,0,0
