stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,1.07,0,6.42,365.87,1.07,0,0,0,0,0,0,0,0,12.84,0,1.07,0,0,1.07,40.65,12.84,2.14,11.77,0,0,0,0,0,3.21,0,0
21Day,6.69,0,0,12.05,195.43,2.68,0,0,0,0,0,0,1.34,1.34,13.39,0,10.71,0,0,0,17.4,8.03,8.03,5.35,2.68,0,1.34,0,2.68,5.35,0,0
3Month,0,1.6,0.32,6.4,16.96,0,0.32,0.64,0.96,11.52,0.32,0.64,3.84,0.32,2.24,1.28,1.92,0.32,0,0.32,0.64,0.32,5.12,0,1.28,14.08,0,0,0,0,22.08,1.92
22Month,0,0.55,2.73,6.01,26.79,0,0,0.55,4.92,49.75,2.73,0.55,4.92,0.55,1.09,3.28,1.64,0,0.55,0.55,0,0,5.47,0,0,13.12,0,0.55,0,0,1.09,0
