stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,4.09,49.04,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,5.35,2.14,3.21,0,2.14,0,0,0,0,0,0,0,0,0,0,3.21,1.07,11.77,0,1.07,6.42,268.52,13.91,0,0,0,6.42,1.07,0,3.21,0,0,0,0,0
21Day,2.68,0,6.69,1.34,2.68,0,0,0,0,0,0,0,4.02,0,1.34,4.02,0,12.05,0,0,6.69,149.92,2.68,6.69,0,0,1.34,5.35,1.34,2.68,0,1.34,0,0,1.34
3Month,0,1.6,20.8,0,0,0,0.32,0.32,4.16,0,5.44,4.8,0,4.16,0.64,24.64,5.12,3.84,0.64,0,1.28,9.6,0,6.08,0.64,0,0.32,1.28,19.84,0,0,0,0.96,21.44,4.16
22Month,0,1.64,4.37,0,0,0.55,0,0.55,6.56,1.64,31.71,1.09,0.55,4.92,0.55,2.73,3.83,7.65,0,0,1.09,9.84,0,4.37,0,0.55,0,0,33.89,0,0.55,0,0,0,1.09
