stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,8.17,0,0,0,0,0,0,0,0,0,0,0,8.17,16.35,0,0,0,0,4.09,167.54,0,8.17,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,3.21,0,0,0,1.07,8.56,3.21,0,0,0,0,0,0,0,0
21Day,0,0,0,2.68,2.68,0,0,0,0,0,0,0,0,0,1.34,0,5.35,0,0,0,0,4.02,0,0,0,0,8.03,0,0,0,2.68
3Month,0,0.32,0.64,3.52,0,0.96,0.96,0.96,1.28,0,46.39,1.92,3.2,0.64,0.64,1.92,3.52,0.96,0,1.28,0.96,0.96,0.64,0.96,0.32,3.2,135.66,0.32,0.64,27.84,2.24
22Month,0,2.73,1.09,4.92,0,0.55,0,0,1.09,1.09,37.17,0.55,5.47,0.55,1.09,1.64,6.01,0,1.64,0,0,1.09,0,1.64,0,0,6.56,0,0.55,0,2.73
