stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,4.09,0,0,0,0,0,61.3,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,2.14,0,2.14,0,0,0,0,0,0,1.07,0,0,1.07,0,4.28,0,1.07,0,0,2.14,10.7,0,0,0,0,0,0,4.28,0,0,0
21Day,5.35,0,0,1.34,0,0,0,0,0,0,1.34,0,1.34,1.34,1.34,2.68,0,0,0,0,1.34,6.69,0,0,0,2.68,1.34,5.35,1.34,0,0,1.34
3Month,0.32,1.28,1.28,18.56,1.28,1.6,3.52,0,350.02,3.2,0.96,36.47,6.72,3.84,3.52,5.44,0.96,0.96,1.28,4.48,0.64,0.96,1.92,0,0,1.28,7.04,221.72,0.64,6.4,24.64,3.52
22Month,0,3.83,2.19,9.84,1.09,1.09,2.73,3.28,747.82,1.64,0,88.01,1.64,0.55,6.56,4.37,0,9.29,0,0,0,0,1.09,0.55,13.12,0,0.55,36.08,0,0,0,1.09
