stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,4.09,0,28.6,0,0,0,0,85.81,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,2.14,1.07,0,3.21,0,1.07,0,0,0,0,0,0,0,0,4.28,4.28,0,6.42,0,2.14,0,19.26,13.91,2.14,0,1.07,0,0,4.28,0,0,0,0,0
21Day,5.35,1.34,0,8.03,0,6.69,0,1.34,0,0,0,0,2.68,0,0,2.68,1.34,4.02,0,4.02,0,8.03,5.35,0,0,5.35,1.34,0,0,1.34,1.34,0,0,0
3Month,0.32,1.6,0.32,9.92,0,0,0.64,0.64,0.64,3.84,10.56,0.32,0,3.2,0.64,4.48,1.28,5.12,0.32,0.96,0.96,1.6,0.32,0.96,0,0,0.32,11.84,0,0,0,1.28,6.4,2.88
22Month,0,1.09,0.55,3.83,0.55,0,0.55,0,1.09,1.64,28.43,1.64,1.09,3.83,0,0.55,2.19,6.01,0,1.64,0,0,0,0.55,1.64,0,0,1.09,0.55,0,0,0,0,1.64
