stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_progenitor_cell,Pancreatic_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,2.14,0,0,0,0,0
21Day,2.68,0,0,0,0,0,1.34,0,0
3Month,2.24,0.96,0,0,0.32,0,0,0.32,0
22Month,0.55,5.47,0.55,0,0,0,0,0,0.55
