stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,4.02,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,1.34,1.34,0,0,0
3Month,0.32,0.64,6.72,0,8,0.32,0,2.56,0.64,0.32,22.72,0.96,0.96,0.64,0.32,0.64,0,0.32,0.32,0,0,0.64,0.64,0.96
22Month,1.09,2.73,12.57,0.55,3.83,0,5.47,18.04,1.64,0,38.27,1.09,1.09,0.55,1.64,0,0.55,0,0,0.55,0,0,0,0.55
