stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,8.17,8.17,0,0,0,4.09,24.52,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,0,3.21,0,0,0,0,0,0,1.07,12.84,0,5.35,0,0,0,499.59,11.77,1.07,1.07,18.19,0,0,3.21,0,1.07,1.07,0,0
21Day,1.34,0,6.69,6.69,0,0,1.34,0,1.34,1.34,0,4.02,1.34,26.77,0,1.34,0,117.79,8.03,0,1.34,20.08,5.35,0,6.69,2.68,2.68,0,0,2.68
3Month,0,0.64,3.2,0,0.32,0.96,2.56,0.96,0,0.64,0,0.96,1.6,7.36,2.24,0.32,0.32,1.92,0,0.96,0.32,0,0,11.84,0,0,0,0,1.92,3.2
22Month,0,0,0,0,0,0.55,9.29,0,0,1.09,0,1.09,0,3.28,0.55,0.55,0,1.09,0,1.64,0.55,0,0.55,3.83,0,0,0,0,0,1.09
