stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0
21Day,1.34,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,10.71,0,0,0
3Month,1.92,0.64,0.32,1.92,1.28,0,0.96,0.64,1.28,0.96,0.32,0.32,0.96,0.32,0.32,1.6,73.27,0,31.36,0.32
22Month,0,0,0,0.55,0,0,0,0,0,0,0,0.55,0,0,0,0,3.83,0,0,0
