stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,1.07,1.07,0,0,0,0,0,2.14,0,0,1.07,17.12,0,1.07,1.07,0,35.3,1.07,0,5.35,3.21,3.21,0,0,1.07,4.28,0,0,0,0,0,0,0
21Day,0,0,13.39,13.39,4.02,0,0,0,0,1.34,38.82,0,1.34,145.9,0,5.35,4.02,14.72,0,0,1.34,4.02,9.37,4.02,9.37,0,0,1.34,14.72,0,2.68,0,4.02,0,0,1.34
3Month,0.32,0.32,3.2,24.96,0,3.2,0,5.44,4.48,0,844.99,7.68,0,159.97,3.2,6.72,2.56,8.64,0.96,2.24,7.68,12.16,0.64,0,5.12,1.28,0,0,12.8,6.08,0,0.32,0,3.2,4.16,3.2
22Month,0,3.83,3.83,27.88,0,6.01,0.55,6.56,7.11,1.64,1368.28,1.64,2.19,216.48,1.09,1.64,6.01,8.75,0.55,32.8,7.65,0,0.55,0,8.2,1.09,2.19,0.55,1.64,1.64,0.55,0,0,0.55,0,3.83
