stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
21Day,1.34,0,1.34,1.34,2.68,0,0,0,0,1.34,0,0,0,0,18.74,4.02,18.74,2.68,0,4.02,1.34,0
3Month,0,0.64,0,2.88,0,0.32,0.64,0.64,0.32,0,0.32,0.64,0.32,0,0.32,0,14.4,0,0,2.24,0,0.64
22Month,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0.55,0,0.55,0,0,0
