stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,4.09,4.09,0,0,4.09,4.09,4.09,24.52,0,0,0
72hpf,0,0,0,0,0,1.07,7.49,0,0,1.07,0
3Month,0,0,0.32,0,0,0,0,0,0.96,0,0.32
22Month,0,0,0,0.55,0,0,0,0,0,0,0
