stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,1.07,0,0,1.07,0,0,0,0,0,0,0
21Day,0,0,4.02,0,1.34,0,0,0,0,0,0,0,0,0,1.34,0,1.34,0,0,0,0,1.34,0,0,1.34,0,0,0,0,0,0,0
3Month,3.52,0.96,47.03,0.96,0,1.6,0.32,6.08,22.4,16.64,13.44,2.56,28.48,2.24,13.44,12.16,8.32,1.28,5.12,0.96,1.92,0,2.88,0.32,0.32,2.88,19.84,1.28,0.32,4.16,3.52,28.48
22Month,2.19,0,2.19,0,0,0,0.55,0,5.47,7.65,3.28,3.83,0.55,0.55,1.64,4.92,7.65,1.09,1.09,0,0,0,0.55,1.09,0.55,0,0,0,0,0,0,1.64
