stage,Epithelial_cell,Epithelial_cell__Brain_,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Smooth_muscle_cell
24hpf,0,0,0,4.09,8.17,0,4.09,0,0
72hpf,0,1.07,1.07,1.07,1.07,2.14,0,0,0
21Day,1.34,0,0,0,2.68,4.02,0,1.34,0
3Month,0.32,0,0,0,0,0,0,0,0.64
