stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,8.17,4.09,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,0,0,0,0,3.21,0,0,0,104.84,6.42,0,1.07,3.21,0,0,1.07,0,0
21Day,0,0,1.34,0,0,1.34,0,1.34,0,0,0,73.62,9.37,1.34,1.34,0,2.68,0,1.34,1.34,0
3Month,0.32,0.96,0,0.32,1.28,0,0.32,0,0.32,0.32,0,0,0,0,0,0,0,1.28,0,0,1.28
22Month,0,0,0,0,4.37,0,0,0,0.55,0,0.55,0,0,0,0,0,0,1.09,0,0,0
