stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0,0,12.26,4.09,281.96,0,0,0,0,0,0,98.07,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,9.63,32.09,2.14,0,0,0,4.28,0,0,0,0,0,6.42,22.47,22.47,10.7,0,0,0,1.07,85.58,41.72,1.07,0,10.7,0,0,0,27.81,0,0,0,0,0
21Day,1.34,1.34,0,13.39,18.74,4.02,0,0,0,12.05,0,1.34,6.69,17.4,0,4.02,8.03,77.63,4.02,0,1.34,5.35,0,18.74,17.4,0,0,8.03,4.02,0,5.35,2.68,1.34,1.34,0,0,1.34
3Month,0.64,2.56,0.32,112.62,7.36,0,0.32,0,3.52,48.31,0,31.99,44.47,1.6,12.16,18.88,12.48,187.81,9.28,6.08,0,8,7.36,64.95,1.6,5.12,0.64,0.32,3.52,0.32,122.86,1.28,0,1.6,1.92,1436.89,6.72
22Month,0,1.64,1.09,64.51,0.55,0,1.09,1.64,0.55,82.54,2.73,56.31,37.72,3.28,6.56,3.83,1.64,118.08,5.47,0,3.83,2.19,0.55,12.03,2.73,2.73,0,0,0.55,0,72.71,0.55,0,0.55,0,8.2,0
