stage,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Neural_cell,Osteoblast,Primordial_germ_cell
72hpf,0,0,0,0,0,0,2.14,0,0
21Day,0,0,0,0,0,0,1.34,0,0
3Month,0.32,0.64,0,0.32,0,0,0,0.32,0.96
22Month,1.09,0.55,1.09,3.28,1.64,0.55,0,0,1.09
