stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0,0,0,0,0,0,0,0,0,0
21Day,1.34,0,0,1.34,1.34,2.68,0,0,0,2.68,0,0,1.34,26.77,1.34,4.02,0,13.39,0,0,0,0,0,0,0,0,0,0,1.34,1.34,0,0,1.34,0,0,0,33.46
3Month,0.96,0.96,0.64,7.04,0.32,0,0.32,0.64,1.28,56.95,0,61.75,47.67,8.32,6.4,1.92,2.88,29.12,5.12,2.24,0,0.96,0.32,0,0,1.28,0,0,0.64,1.92,0,8.32,0,0.32,1.28,13.44,130.22
22Month,0,3.83,0.55,9.29,0,0,2.19,0.55,1.09,81.45,2.73,106.6,30.07,12.03,7.65,0.55,3.28,37.17,8.75,0.55,5.47,1.09,0,1.09,0,1.09,1.64,0.55,0.55,1.09,0.55,0,0,0,1.09,0,68.88
