stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,20.43,4.09,0,53.12,8.17,0,0,0,0,0,4.09,0,0,0,0,8.17,8.17,20.43,57.21,0,0,0,12.26,326.91,0,0,16.35,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,5.35,2.14,1.07,0,0,0,0,0,0,0,2.14,0,4.28,12.84,0,5.35,2.14,0,0,11.77,12.84,0,0,5.35,0,0,3.21,0,2.14,0,0,0
21Day,2.68,0,1.34,8.03,1.34,2.68,4.02,0,0,0,0,2.68,0,2.68,1.34,1.34,2.68,0,6.69,0,1.34,0,1.34,2.68,1.34,0,1.34,1.34,0,0,0,0,0,0,0
3Month,0,0.64,0.32,4.8,0,0,0,0.32,0.96,0,0,4.16,1.28,0.32,2.88,0.32,3.2,0.96,0,0,0.64,0.32,1.28,0.32,0,0.32,0,0.64,16.96,0,0,0,0.64,1.92,0.32
22Month,0,0,1.09,8.2,0,0,0,0,4.92,4.37,0,32.25,1.64,1.09,13.67,1.09,4.92,4.92,7.11,1.64,0,0,0,0.55,1.64,1.64,1.09,0.55,4.37,1.64,0.55,0,0,0,0
