stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,8.17,0,28.6,0,0,0,0,0,0,0,0,0,0,4.09,0,12.26,32.69,0,0,0,16.35,40.86,0,0,0,0,0,0,0,0,0
72hpf,1.07,5.35,0,11.77,3.21,0,0,0,0,0,0,0,0,0,1.07,6.42,4.28,22.47,0,0,0,2.14,11.77,0,1.07,17.12,0,0,1.07,0,0,0
21Day,4.02,5.35,0,17.4,0,1.34,0,0,0,0,1.34,0,0,4.02,1.34,13.39,4.02,40.16,0,8.03,0,9.37,10.71,0,9.37,18.74,1.34,1.34,4.02,0,0,0
3Month,0.64,8,0.32,22.4,0,0,0,5.44,0.96,0,11.84,2.88,0.32,6.72,0.96,16.96,10.24,18.24,3.84,0.64,1.28,0.32,0.32,0.32,3.2,3.52,0.32,12.16,0.64,7.68,2.56,0.64
22Month,0,5.47,1.09,9.84,0,0,0.55,3.28,1.09,6.56,28.97,0.55,1.09,4.37,0,2.73,8.2,14.21,0,1.64,0.55,0.55,0,0,1.09,1.09,0.55,2.73,2.19,0,0,1.64
