stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Pancreatic_cell
72hpf,0,0,46,0,0,0,0,0,0,0,0,0,1.07,0,2.14,0,0,1.07
21Day,0,0,46.85,0,6.69,0,0,0,0,0,0,1.34,0,0,0,1.34,0,0
3Month,0,0.64,0,0,0.32,0.32,0,0.64,0,0,0,0.32,0,0.64,0.32,0,0,0
22Month,0.55,2.19,0,0.55,1.64,1.09,0.55,13.12,0.55,1.64,0.55,0,1.09,2.73,0,0,4.37,0
