stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,20.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,40.65,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35,1.07,0,4.28,0,0,0,0,6.42,1.07,0,0,4.28,0,0,0,1.07,0,0,0,0,0
21Day,123.15,1.34,4.02,6.69,5.35,0,0,0,0,0,0,0,2.68,115.11,0,5.35,1.34,12.05,0,1.34,1.34,0,5.35,5.35,2.68,0,2.68,5.35,0,1.34,0,4.02,2.68,0,0,1.34
3Month,0.96,2.24,2.24,49.91,0,1.28,0.32,7.36,3.2,0,10.88,4.8,0.96,545.19,0.64,3.52,2.88,5.44,1.28,0,0.32,0,0.96,0,0,0.64,0,3.84,0.32,8.64,0.32,0,0,0.96,1.6,4.48
22Month,0,0.55,2.73,4.37,0,0.55,0,6.56,0.55,2.19,19.68,0,1.64,352.05,0,0,1.09,3.83,0.55,1.64,1.09,0.55,0,1.09,0.55,0,0,1.09,0,0,0.55,0.55,0,0,0,0
