stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,118.51,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,12.84,0,0,0,0,0,0,0,0,0,0,0,4.28,0,341.26,0,1.07,3.21,0,16.05,3.21,1.07,2.14,33.16,0,0,2.14,0,0,1.07,0,0,0
21Day,5.35,1.34,0,26.77,8.03,0,0,0,0,0,0,0,2.68,1.34,2.68,2.68,1.34,1048.07,0,0,1.34,0,25.43,6.69,0,0,121.81,14.72,1.34,0,1.34,8.03,2.68,0,0,4.02
3Month,0,2.24,0.32,9.28,0,0,3.52,0.64,1.6,0,10.88,2.24,0.32,7.04,0.64,2.88,1.92,285.71,7.04,0,3.84,0.64,0.64,0,0.96,0.96,1.6,1.6,196.13,0.32,0,0,0,1.92,108.78,1.6
22Month,0,0,0,4.92,0,1.09,2.73,0.55,0.55,0.55,14.76,0.55,0,0,0,0.55,0.55,15.31,0.55,0,1.64,0,0.55,0.55,0,0,0,0,98.94,0,0,0,0,0,3.83,0
