stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,1985.99,12.26,527.15,4.09,4.09,0,0,44.95,0,8.17,44.95,8.17,16.35,1238.18,0,40.86,2950.38,4.09,73.56,0,0,0,0,93.99
72hpf,19.26,0,36.37,0,2.14,0,0,0,0,0,33.16,3.21,1.07,51.35,1.07,34.23,74.89,2.14,58.84,0,1.07,14.98,5.35,72.75
21Day,2.68,0,0,0,0,1.34,0,0,0,0,0,1.34,0,2.68,1.34,2.68,4.02,0,5.35,0,0,1.34,5.35,1.34
3Month,0,0,0.32,0,0,0,0.32,0,0.32,0.32,0,0,0,0,0,0,0.32,0,0,0.64,0,0,0,2.88
