stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,8.17,0,0,20.43,0,0,0,0,0,0,0,0,0
72hpf,6.42,0,1.07,3.21,2.14,0,0,0,0,0,1.07,1.07,1.07,0,95.21,7.49,0,3.21,0,1.07,1.07,0,0,0,0
21Day,1.34,0,0,4.02,0,0,0,0,0,0,2.68,0,0,0,36.14,2.68,0,0,2.68,1.34,1.34,1.34,0,0,0
3Month,0,0.64,1.28,0.64,0,0.32,0.96,1.92,16.32,0.32,0,0.64,1.92,1.6,1.28,0,0,0,0,22.4,0,0,0.32,23.36,0.32
22Month,0,0,0,0,0,0,0.55,4.92,0,1.64,0,0,1.64,0,1.64,0,1.09,0,0,1.64,0.55,0,0,0,0
