stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,1.07,0,0,1.07,0,0,0,0,0,0,0,0
21Day,1.34,0,0,0,0,0,0,0,0,1.34,0,0,2.68,0,0,0,0,0,0,0,1.34
3Month,0,0.32,0.96,0.32,0.32,0.32,4.8,1.28,11.2,2.56,0.32,0.32,8,0.64,0.32,0.32,0.32,0.64,0.32,0.32,14.4
22Month,0,0.55,0,0.55,0,0,11.48,2.73,4.37,1.64,0.55,0,12.03,0.55,0,0,0,0,0,0,6.56
