stage,Epithelial_cell,Epithelial_cell__Brain_,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,0,0,0,8.17,4.09,0,151.2,0,0,0,4.09
72hpf,1.07,1.07,1.07,0,1.07,6.42,4.28,2.14,0,4.28,0
21Day,0,0,1.34,1.34,1.34,6.69,12.05,0,1.34,2.68,0
