stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,4.09,0,0,0,0,36.78,106.25,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,0,19.26,2.14,2.14,0,0,0,0,0,0,0,0,0,1.07,1.07,1.07,5.35,0,0,1.07,0,37.44,92,0,1.07,0,5.35,0,0,41.72,0,0,0,0
21Day,4.02,0,0,17.4,0,2.68,0,0,0,0,0,0,0,0,1.34,2.68,5.35,6.69,12.05,0,0,0,0,4.02,36.14,5.35,0,0,0,1.34,0,16.06,1.34,0,0,4.02
3Month,0.32,0.96,3.52,112.3,0.32,0,0.32,0.32,0.32,2.56,0,5.76,1.6,0,7.36,4.48,1.6,2.24,2.56,0.64,0,0.64,0.32,2.56,1.28,6.08,0.32,0,0.64,1.6,9.28,1.92,0,1.6,96.3,1.28
22Month,1.09,1.64,1.09,106.6,0,0,0,0,0,0.55,0.55,14.76,0.55,1.09,1.09,0,0.55,2.73,3.28,0,1.64,0.55,0,0.55,4.37,2.19,0,1.09,0,0,22.96,1.64,0,0,0,0.55
