stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,12.26,44.95,0,16.35,16.35,4.09,0,0,0,0,0
72hpf,2.14,8.56,0,0,0,0,2.14,0,18.19,1.07,53.49,9.63,8.56,10.7,0,1.07,0,0
21Day,1.34,1.34,0,0,0,0,0,0,5.35,4.02,10.71,0,1.34,14.72,1.34,2.68,0,0
3Month,0,0,0,0.96,0.32,0.32,0.32,0,0,0,0,0,0,0,0,0,0.32,1.92
22Month,0,0,0.55,7.65,0.55,0,0,0.55,0,0,0,0.55,0.55,0,0,0,0,0
