stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neurosecretory_cell,Spermatocyte,T_cell
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,1.34,0,0,6.69,0,0,0
3Month,0.32,0,0.32,0,0,4.8,0,0,0.32,0.32,9.92,0,0.32,0.32
22Month,0,0,0,2.73,0.55,9.84,0.55,0,0,1.09,4.92,0.55,0,0
