stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,8.17,0,0,20.43,44.95,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,1.07,0,1.07,0,0,0,0,0,0,0,0,0,4.28,0,155.12,13.91,1.07,3.21,1.07,0,0,1.07,0,1.07,0,0,0
21Day,0,1.34,2.68,1.34,2.68,0,0,0,1.34,1.34,0,0,1.34,0,10.71,2.68,57.56,6.69,0,0,2.68,0,1.34,5.35,1.34,0,1.34,0,0
3Month,0.32,1.6,1.6,0,0,0.32,0.32,3.2,3.2,62.07,0.96,0.64,0.96,4.48,1.28,0.64,1.28,0.32,1.28,3.52,0,0.32,4.16,0,0,0,0,0.32,0.64
22Month,0,0.55,0,0,0,0,0,0,6.01,9.84,0,0,0,0.55,1.64,0.55,0,0,0.55,1.64,0,0,0.55,0,0,0,0,0,0.55
