stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,339.17,4.09,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,8.17,216.58,0,0,0,0,0,0,0,0,0,0
72hpf,1033.42,2.14,0,3.21,0,7.49,0,1.07,0,2.14,0,0,0,0,0,7.49,1.07,19.26,0,2.14,0,0,71.68,29.95,0,14.98,0,2.14,5.35,0,4.28,0,0,0
21Day,805.8,1.34,6.69,36.14,4.02,28.11,0,5.35,0,0,0,13.39,1.34,10.71,2.68,12.05,2.68,50.86,0,0,9.37,0,56.22,29.45,1.34,20.08,18.74,6.69,2.68,9.37,0,0,0,6.69
3Month,8,0.64,0.64,3.2,0,0,0.32,0,0.96,1.92,0,126.38,2.56,0,3.84,3.2,1.28,5.12,0.64,0.32,0.64,0.32,0.32,0,0,0,0.96,86.07,0,0,0,0.96,12.8,1.6
22Month,7.11,0.55,0,3.28,0,0,1.09,0,0,1.64,2.19,200.62,0.55,0,1.64,0.55,4.92,3.83,0,13.12,0.55,0,0,0,0.55,0.55,0,21.32,0,0,0,0,0,0.55
