stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,4.09,0,0,0,0,4.09,0,0,0,0,0,0,0,32.69,0,0,0,16.35,314.65,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,1.07,0,0,0,0,0,0,1.07,0,2.14,0,0,1.07,0,0,0,7.49,35.3,0,0,4.28,0,0,7.49,16.05,13.91,0,0,0
21Day,1.34,0,0,5.35,6.69,1.34,1.34,0,0,0,0,1.34,4.02,1.34,0,0,1.34,0,1.34,0,8.03,12.05,0,0,4.02,1.34,0,0,243.61,156.61,0,0,4.02
3Month,0,0.32,0,2.24,0,0.32,0.32,0,0,6.08,0.64,0.64,0.32,0.32,0.32,0.32,0.32,0,0,0.32,0.32,0.32,0.64,0,0,0.32,8.32,0.32,3.2,0.32,0.32,7.68,0.64
22Month,0,0,0.55,3.28,0,0,3.83,0.55,0,97.3,0,0.55,2.73,0.55,0,1.64,1.09,0.55,0.55,0,0.55,0,0,0.55,0,0,11.48,1.09,283.17,0,0.55,0.55,0.55
