stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,20.43,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,4.09,44.95,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,4.28,1.07,4.28,2.14,2.14,0,0,0,0,0,0,0,1.07,7.49,0,33.16,0,3.21,19.26,10.7,0,1.07,34.23,0,0,3.21,2.14,1.07,1.07,0,0,0
21Day,9.37,6.69,16.06,4.02,2.68,0,0,0,0,0,2.68,0,0,12.05,2.68,104.41,0,14.72,6.69,8.03,0,0,20.08,2.68,0,0,0,1.34,1.34,0,0,8.03
3Month,0,1.28,9.6,0,0,0.32,0.32,1.6,2.56,0,0,0.64,0.32,3.52,0.64,10.88,1.28,0.96,0,0,0.64,0,0.32,0.64,0.96,0,0,0,0,0.64,0.64,1.6
22Month,0,3.28,3.83,0,0,0,0,0,7.11,0.55,0,0,0,0.55,0,10.39,0,0.55,0,0.55,0,0,0.55,0,0.55,0.55,0,0,0,0,0,1.64
