stage,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Ionocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,T_cell
24hpf,0,0,0,0,4.09,0,4.09,0,0
72hpf,9.63,1.07,0,1.07,0,2.14,1.07,0,0
21Day,60.23,10.71,1.34,0,0,1.34,0,1.34,1.34
