stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,163.46,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,8.56,0,0,1.07,0,90.93,1.07,0,0,5.35,4.28,0,0,0,0,0,0,0
21Day,0,0,0,0,12.05,0,0,6.69,0,45.51,4.02,0,0,2.68,0,2.68,0,0,0,0,0,0
3Month,0.32,2.24,0,0.64,83.19,2.88,1.92,0,0,56.95,1.92,0.96,0.32,0.96,0,0,0.64,1.6,0.32,0,1.6,0.64
22Month,0,0,2.19,0,80.36,9.29,1.09,2.19,0,27.33,1.09,0,0,0,0,0,0,3.28,0,0.55,0,0
