stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte
24hpf,0,0,0,0,0,8.17,12.26,0,0,0,4.09,49.04,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,22.47,0,0,0,6.42,7.49,0,1.07,0,2.14,0,0
21Day,0,1.34,1.34,0,0,0,0,0,0,0,5.35,1.34,0,1.34,0,5.35,1.34,0
3Month,0,6.72,0,0.32,1.92,0.96,0.64,0.32,0.64,0.32,0.96,0,0.32,0,0.96,0,0,14.4
