stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0,20.43,40.86,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,6.42,0,3.21,11.77,0,0,0,0,0,0,0,0,0,0,6.42,2.14,6.42,0,1.07,2.14,0,616.2,8.56,3.21,2.14,12.84,1.07,0,5.35,0,0,1.07,0,0,0
21Day,2.68,0,13.39,8.03,0,0,0,0,0,0,0,1.34,2.68,0,5.35,0,5.35,0,0,1.34,0,239.6,1.34,1.34,8.03,5.35,6.69,0,0,1.34,1.34,2.68,0,0,0
3Month,0.32,0.64,9.92,0,0.32,0.32,0.96,4.48,0,26.24,1.6,0.32,3.52,0.32,3.52,0.32,3.84,1.6,0.32,0,0.96,4.16,0.32,1.28,1.28,0,0.64,12.48,0,0,0,0,0.96,6.4,3.2
22Month,0.55,0,5.47,0,0.55,0,0,4.37,1.64,88.56,1.64,1.64,9.84,0,0.55,0.55,4.92,0,1.09,0.55,0,2.19,0.55,1.09,1.09,0,1.64,3.28,0.55,0,0,0,0,0,1.64
