stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,4.09,0,0,0,0,0,12.26,0,0
72hpf,0,0,0,0,0,0,0,1.07,0,0
3Month,0,0,0.32,0.32,0,0.32,0,0,6.72,0.64
22Month,0.55,0,0,0,0.55,4.92,0.55,0,0,0
