stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,0,0,3.21,1.07,0,0,0,0,0,1.07,3.21,0,1.07,0,120.89,10.7,2.14,0,0,0
21Day,2.68,4.02,10.71,2.68,1.34,1.34,0,0,0,1.34,2.68,1.34,9.37,0,131.18,0,2.68,5.35,1.34,1.34
3Month,0,0.32,0,0,0,0,0,0.32,0,0,0.32,0,0,0,0,0,0,0,0,0
22Month,0,0,0,0,0,0.55,1.09,9.84,0.55,0,0,2.19,0,0.55,0,0,0,0,0,0
