stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,4.09,0,4.09,0,0,0,12.26,0,0,0,0,4.09,4.09,0,28.6,0,0,0,0,12.26,114.42,0,4.09,0,0,0,0,0,0
72hpf,0,0,1.07,0,1.07,1.07,0,0,0,0,0,0,0,3.21,1.07,0,3.21,0,1.07,0,0,26.74,13.91,0,1.07,0,0,0,0,0,0
21Day,0,0,9.37,1.34,6.69,4.02,0,1.34,0,0,0,6.69,0,1.34,2.68,0,5.35,0,0,0,0,10.71,6.69,0,1.34,0,1.34,0,0,0,1.34
3Month,0,0,1.6,0,0,0,0.64,0,0,15.04,2.24,0,1.92,0.32,0.32,0.32,0.64,0.32,0,0.64,0.32,0,0,0.64,0,10.24,0,0,0.32,0.32,2.24
22Month,0,0.55,2.73,0,0,0,0,2.73,0,49.2,1.64,0,3.83,0,0.55,3.28,0,0,1.09,0,0,0,0,0,0.55,3.83,0,0.55,0,0,1.64
