stage,Cardiomyocyte,Epithelial_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell
24hpf,0,0,0,0,0,0,4.09,4.09,0
72hpf,0,0,0,0,0,2.14,0,0,0
21Day,1.34,2.68,0,1.34,1.34,0,0,0,1.34
22Month,0,0,0.55,0,0,0,0,0,0
