stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Oligodendrocyte,Osteoblast,Radial_glia,T_cell
24hpf,0,8.17,0,0,0,0,4.09,0,0,0,0,0
72hpf,1.07,12.84,0,0,1.07,3.21,2.14,23.54,0,7.49,3.21,0
21Day,0,8.03,1.34,0,0,1.34,12.05,10.71,1.34,6.69,0,2.68
3Month,0,0.64,0,0.32,0,0.64,0,0,0,0,0,0
22Month,0,0,0,1.09,0,0,0,0,0,0,0,0
